No.,Time,Comment,Scramble,Date,P.1
19,15.43,,U2 R' B' R U F2 B U' R' B2 U L2 U R2 L2 B2 U' B2 D2,2022-07-07 18:05:36,15.43
20,15.44,,F2 D2 R2 F2 D F' D' L' F U2 D2 B' U2 R2 F U2 F' R2 U2 F,2022-07-07 18:06:16,15.44
21,DNF(24.81),,L2 F2 U B2 D' B2 D' R2 U2 R2 U' R2 B' R' D' U R' F2 U' B D',2022-07-18 17:29:59,24.81
22,12.40,,D F' D2 F' D' R' U' B' R2 D2 R' D2 R' F2 R2 F2 U2 R F2 L,2022-07-18 17:34:54,12.40
23,20.70,,D' B2 R2 U R2 B2 R2 U2 B2 F' L2 B' R2 D' L' U' B2 U2 F,2022-07-18 17:35:26,20.70
24,17.59,,U2 L2 R2 B2 U2 F' R2 D2 F R2 B' R B2 L' U' L2 D B' R2 F,2022-07-18 17:36:09,17.59
25,18.07,,B D F' L2 U2 B2 R2 F2 D L2 D U2 R2 U' B U2 R B L' D' U2,2022-07-18 17:36:46,18.07
26,16.37,,F2 D L2 U R2 F2 D' L2 R' U R2 B' R2 U2 R B' F2 U,2022-07-18 17:37:21,16.37
27,15.48,,U B' U' D2 F2 U F R2 U2 B2 R B2 R' U2 B2 R2 L U2 R B' L',2022-07-19 18:35:11,15.48
28,19.65,,D' R2 D2 R2 B2 U B2 U' R2 D' R' F2 D U' L B L' R' F2 U',2022-07-19 18:35:59,19.65
29,13.63,,R2 F L2 D2 R' D2 L' F2 L2 F2 U2 L' B2 F2 D U R' B2 U R' B',2022-07-19 18:36:42,13.63
30,15.12,,U' B R2 F R' U R' L' F U2 D2 R2 U2 L2 F' B2 R2 U2 D2 B,2022-07-19 18:37:47,15.12
31,15.22,,B2 F2 U' F2 R2 D F2 R2 D' B2 U B' U B2 U' F' L B2 D B2 U2,2022-07-19 18:39:13,15.22
32,14.40,,F L D2 R' D2 B2 R F2 L2 U2 R U2 F L' U2 B' U R' B2 D',2022-07-19 18:39:50,14.40
33,18.16,,B2 U2 F' R2 U2 R2 F L2 F U2 B U2 D L U L F R F' U L2,2022-07-19 18:40:32,18.16
34,27.81,,U F R2 D2 R2 B2 U F2 U R2 B2 D2 B2 U2 L F2 U F D' F2 R',2022-07-19 18:41:10,27.81
35,13.76,,B L D2 L2 B2 D2 L' D2 R2 U2 R' D2 R' B D' L2 U' B D' F' L',2022-07-20 12:06:12,13.76
36,15.43,,F2 D F2 R2 D F2 D' F2 D F2 R2 U' F' R2 B U L' R' D' B' L,2022-07-20 12:10:12,15.43
37,14.44,,B' L2 B' D2 L2 B R2 B2 F D R U' B' D F2 L' F' L',2022-07-20 12:10:46,14.44
38,20.47,,D2 B2 D F2 L2 D' U2 B2 R2 F2 B' D F R F' D F L2 F2 U2,2022-07-20 12:11:43,20.47
39,14.01,,U' L D' R2 U R' L' B U' B2 L2 D' B2 U' F2 U2 L2 B2 D B2,2022-07-20 12:12:26,14.01
40,18.77,,L B D2 L2 R2 F' R2 F2 D2 L2 B2 D2 B' R B2 U F L D2 R,2022-07-20 12:13:00,18.77
41,17.54,,B' U2 B2 R B' U D2 L' U' F2 L2 D F2 U L2 D F2 U B2,2022-07-20 12:13:33,17.54
42,22.43,,B R2 B' R2 U2 F' R2 F R2 B D2 B2 D R' F2 R U2 F' U' B' D',2022-07-20 12:14:18,22.43
43,17.86,,L2 F2 D2 L2 D' B2 F2 L2 B2 U' B2 U2 F L2 R' B F' L2 F2 R',2022-07-20 12:15:02,17.86
44,16.60,,F L' D L2 B L2 F U2 B' U2 F2 L2 F2 L B' D B2 R B U,2022-07-20 12:15:34,16.60
45,16.13,,D2 F2 U2 F U2 B L2 B' F2 R2 D2 U F2 L2 B' F D' R F R,2022-07-20 12:16:05,16.13
